Month,London Mean Roadside:Nitric Oxide (ug/m3),London Mean Roadside:Nitrogen Dioxide (ug/m3),London Mean Roadside:Oxides of Nitrogen (ug/m3),London Mean Roadside:Ozone (ug/m3),London Mean Roadside:PM10 Particulate (ug/m3),London Mean Roadside:PM2.5 Particulate (ug/m3),London Mean Roadside:Sulphur Dioxide (ug/m3),London Mean Background:Nitric Oxide (ug/m3),London Mean Background:Nitrogen Dioxide (ug/m3),London Mean Background:Oxides of Nitrogen (ug/m3),London Mean Background:Ozone (ug/m3),London Mean Background:PM10 Particulate (ug/m3),London Mean Background:PM2.5 Particulate (ug/m3),London Mean Background:Sulphur Dioxide (ug/m3)
01-Jan-08,,55.50268817,,29.51209677,24.96908602,14.67876344,4.217741935,,42.33870968,,36.9422043,18.8172043,.,3.572580645
01-Feb-08,,75.92241379,,20.31752874,39.47701149,28.77298851,7.55316092,,60.23706897,,26.42528736,31.89655172,.,6.734195402
01-Mar-08,,55.61021505,,40.10349462,21.56989247,12.30013459,3.86827957,,39.80107527,,50.22715054,15.47715054,.,2.286290323
01-Apr-08,,61.75694444,,37.88472222,28.74027778,20.46111111,4.475,,44.00972222,,50.13333333,21.72916667,.,3.236111111
01-May-08,,62.90322581,,46.26612903,34.61155914,27.50806452,4.634408602,,44.14112903,,60.51209677,29.54569892,16.5768262,4.25
01-Jun-08,,49.16111111,,39.83611111,23.19861111,16.01005747,3.593055556,,31.24166667,,51.32638889,18.25,12.61376404,2.547222222
01-Jul-08,,48.44489247,,34.98252688,22.95833333,14.2405914,3.100806452,,31.21639785,,46.62365591,17.20430108,11.89919355,2.49327957
01-Aug-08,,41.07258065,,30.02150538,20.69354839,11.45295699,2.155913978,,27.85080645,,37.09408602,15.50806452,11.20137931,2.088709677
01-Sep-08,,54.08055556,,22.375,28.22777778,17.97916667,3.748611111,,41.21527778,,28.88611111,22.24444444,15.32451253,3.056944444
01-Oct-08,,56.65860215,,19.33736559,23.00268817,12.91801075,4.305107527,,43.81317204,,25.42741935,16.46908602,11.62096774,2.838709677
01-Nov-08,,57.92916667,,18.80972222,21.85416667,14.71388889,3.2875,,42.31111111,,22.58194444,16.75277778,12.89027778,2.672222222
01-Dec-08,,65.10349462,,14.48655914,27.29704301,20.51612903,3.791666667,,47.50806452,,16.67069892,21.51075269,18.09543011,3.5
01-Jan-09,,68.52284946,,18.78494624,31.11290323,23.17741935,5.880376344,,51.98521505,,21.47177419,25.27553763,20.65994624,4.842741935
01-Feb-09,,71.92559524,,15.07440476,28.01041667,19.07589286,4.680059524,,52.66815476,,20.33779762,20.8452381,17.23809524,3.026785714
01-Mar-09,,65.15456989,,32.32930108,29.97177419,19.70698925,3.266129032,,45.34408602,,40.16801075,24.31586022,17.27956989,2.920698925
01-Apr-09,,63.175,,35.7375,32.59861111,26.08472222,2.691666667,,40.14583333,,46.03888889,27.69027778,21.61666667,2.7375
01-May-09,,48.61021505,,45.38575269,24.87768817,14.30510753,2.819892473,,28.08064516,,55.11290323,19.74865591,11.81451613,2.436827957
01-Jun-09,,56.07638889,,40.12222222,24.68055556,15.9375,3.626388889,,33.13194444,,52.51527778,19.85277778,13.11388889,2.516666667
01-Jul-09,,44.36827957,,32.77150538,20.22446237,11.2311828,2.422043011,,24.85752688,,40.43951613,15.49462366,9.841397849,2.15188172
01-Aug-09,,48.65994624,,28.60349462,21.69623656,13.25672043,2.258064516,,29.20833333,,35.95295699,16.58333333,11.38978495,2.478494624
01-Sep-09,,51.55972222,,26.32083333,24.25555556,14.44305556,2.404166667,,32.67361111,,33.11666667,19.11111111,11.61666667,3.009722222
